ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=10x10 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_fine_generations.jsonl
  seed plan    fitness=   320.4 cityPop=  313 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1] +
  seed reactive fitness=   225.0 cityPop=  220 cell=(6, 5, 0) rolls=[305.0, 185.0, 185.0] +
it  122 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  119 [mutat] + fit=     3.1 pop=    0 m=(0.76,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=773 best_fit=789
it  123 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  121 [cross]   fit=     3.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  120 [mutat]   fit=     1.5 pop=    0 m=(0.28,0.00,0.00) cell=(2, 0, 0) | filled=14 best_pop=773 best_fit=789
it  129 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  128 [cross]   fit=     3.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  130 [mutat]   fit=     3.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  125 [mutat] + fit=    56.3 pop=   53 m=(0.71,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=773 best_fit=789
it  126 [cross]   fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  127 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  132 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  131 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  136 [cross] + fit=    50.1 pop=   47 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  134 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
