ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_long_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
  seed reactive fitness=   221.0 cityPop=  216 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0, 205.0, 225.0] +
it   58 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=420 best_fit=433
it   60 [mutat] + fit=     1.9 pop=    0 m=(0.23,0.00,0.00) cell=(1, 0, 0) | filled=11 best_pop=420 best_fit=433
it   63 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=420 best_fit=433
it   65 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=420 best_fit=433
it   62 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=420 best_fit=433
it   64 [mutat] + fit=     4.8 pop=    0 m=(0.00,0.00,0.33) cell=(0, 0, 3) | filled=12 best_pop=420 best_fit=433
it   61 [mutat] + fit=     1.5 pop=    0 m=(0.30,0.00,0.00) cell=(2, 0, 0) | filled=12 best_pop=420 best_fit=433
it   66 [cross] + fit=   303.7 pop=  292 m=(0.00,0.00,0.32) cell=(0, 0, 3) | filled=12 best_pop=420 best_fit=433
it   67 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   69 [cross]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   70 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   72 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   68 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   71 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   74 [mutat]   fit=     3.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   73 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   75 [mutat] + fit=     1.9 pop=    0 m=(0.69,0.00,0.00) cell=(5, 0, 0) | filled=12 best_pop=420 best_fit=433
it   77 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   78 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   76 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   81 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   82 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   80 [cross] + fit=     3.5 pop=    0 m=(0.99,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   79 [cross]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   85 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   84 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   83 [cross] + fit=     1.8 pop=    0 m=(0.59,0.00,0.00) cell=(4, 0, 0) | filled=12 best_pop=420 best_fit=433
it   86 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   87 [mutat]   fit=     2.2 pop=    0 m=(0.95,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   88 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   90 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   91 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   89 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   93 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   92 [mutat]   fit=     3.5 pop=    0 m=(0.99,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it   94 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   95 [mutat]   fit=     1.3 pop=    0 m=(0.14,0.00,0.00) cell=(1, 0, 0) | filled=12 best_pop=420 best_fit=433
it   96 [cross]   fit=   208.3 pop=  196 m=(0.00,0.00,0.08) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   99 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   97 [mutat] + fit=     2.4 pop=    0 m=(0.18,0.00,0.00) cell=(1, 0, 0) | filled=12 best_pop=420 best_fit=433
it  100 [cross]   fit=   262.6 pop=  248 m=(0.00,0.00,0.22) cell=(0, 0, 2) | filled=12 best_pop=420 best_fit=433
it  101 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it   98 [cross]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  102 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  105 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  103 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  104 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  108 [cross] + fit=     2.1 pop=    0 m=(0.86,0.00,0.00) cell=(6, 0, 0) | filled=12 best_pop=420 best_fit=433
it  106 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  109 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  107 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  110 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  111 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
