ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_react_generations.jsonl
  seed plan    fitness=   320.4 cityPop=  313 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1] +
  seed reactive fitness=   225.0 cityPop=  220 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0] +
it  102 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  101 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=440 best_fit=449
it  103 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  104 [mutat]   fit=   371.5 pop=  360 m=(0.00,0.00,0.14) cell=(0, 0, 1) | filled=11 best_pop=440 best_fit=449
it  105 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  106 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  107 [cross]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  108 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=440 best_fit=449
it  109 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  110 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  111 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  112 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  113 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=440 best_fit=449
it  114 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=440 best_fit=449
it  115 [mutat]   fit=     1.2 pop=    0 m=(0.05,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=440 best_fit=449
it  117 [mutat] + fit=     3.5 pop=    0 m=(0.00,0.00,0.50) cell=(0, 0, 5) | filled=12 best_pop=440 best_fit=449
it  116 [mutat] + fit=    64.5 pop=   60 m=(0.99,0.02,0.33) cell=(7, 0, 3) | filled=13 best_pop=440 best_fit=449
it  118 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=440 best_fit=449
it  119 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=440 best_fit=449
it  120 [cross]   fit=     7.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=440 best_fit=449
it  121 [mutat]   fit=   284.7 pop=  273 m=(1.00,0.00,0.20) cell=(7, 0, 1) | filled=13 best_pop=440 best_fit=449
it  123 [mutat]   fit=   143.7 pop=  133 m=(0.00,0.00,0.06) cell=(0, 0, 0) | filled=13 best_pop=440 best_fit=449
it  122 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=440 best_fit=449
it  124 [mutat]   fit=     1.8 pop=    0 m=(0.55,0.00,0.00) cell=(4, 0, 0) | filled=13 best_pop=440 best_fit=449
it  125 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=440 best_fit=449
