ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_clind_ambition_generations.jsonl
  seed clind_champ fitness=  2623.0 cityPop= 2613 cell=(5, 0, 2) rolls=[2569.7, 2409.7, 2889.7] +
  killing fully open-loop genomes: max(cf, divergence) <= 0.0
it   77 [mutat]   fit=     5.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   76 [mutat] KILLED open-loop: cf=0.00 div=0.00 pop=0
it   78 [cross]   fit=   659.7 pop=  640 m=(1.00,0.26,0.28) cell=(7, 2, 2) | filled=14 best_pop=2613 best_fit=2623
it   79 [cross]   fit=   721.2 pop=  707 m=(1.00,0.33,0.26) cell=(7, 2, 2) | filled=14 best_pop=2613 best_fit=2623
it   80 [cross]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   81 [mutat] KILLED open-loop: cf=0.00 div=0.00 pop=0
it   82 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   83 [cross]   fit=     3.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   84 [mutat]   fit=     4.0 pop=    0 m=(0.10,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   85 [mutat] + fit=     7.2 pop=    0 m=(0.10,0.03,0.33) cell=(0, 0, 3) | filled=15 best_pop=2613 best_fit=2623
it   86 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=15 best_pop=2613 best_fit=2623
it   87 [mutat] + fit=     5.0 pop=    0 m=(0.13,0.00,0.00) cell=(1, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   89 [mutat] + fit=    56.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   88 [cross] + fit=   912.3 pop=  893 m=(1.00,0.04,0.25) cell=(7, 0, 2) | filled=16 best_pop=2613 best_fit=2623
it   90 [mutat]   fit=     4.0 pop=    0 m=(0.16,0.00,0.00) cell=(1, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   92 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   91 [mutat]   fit=     6.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   93 [mutat]   fit=     6.3 pop=    0 m=(0.12,0.00,0.00) cell=(0, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   94 [mutat]   fit=     5.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   95 [mutat]   fit=     3.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   96 [cross]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=16 best_pop=2613 best_fit=2623
