ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=res_ind archive=20x20 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_diverse_overnight_generations.jsonl
  seed reactive fitness=   282.4 cityPop=  276 cell=(19, 0) rolls=[326.4, 346.4, 246.4, 246.4, 246.4] +
  seed plan    fitness=   335.1 cityPop=  328 cell=(19, 0) rolls=[387.1, 367.1, 267.1, 367.1, 287.1] +
  seed industrial fitness=    71.1 cityPop=   64 cell=(0, 19) rolls=[167.1, 7.1, 7.1, 167.1, 7.1] +
  seed commercial fitness=     7.1 cityPop=    0 cell=(0, 0) rolls=[7.1, 7.1, 7.1, 7.1, 7.1] +
  seed mixed   fitness=   219.1 cityPop=  212 cell=(7, 6) rolls=[7.1, 167.1, 327.1, 347.1, 247.1] +
  seed res_ind fitness=   263.1 cityPop=  256 cell=(10, 10) rolls=[247.1, 207.1, 327.1, 287.1, 247.1] +
  seed res_heavy fitness=   247.1 cityPop=  240 cell=(15, 5) rolls=[287.1, 167.1, 187.1, 327.1, 267.1] +
  seed twin    fitness=   171.2 cityPop=  160 cell=(10, 9) rolls=[411.2, 411.2, 11.2, 11.2, 11.2] +
it   72 [cross] + fit=  1330.5 pop= 1300 m=(0.55,0.14) cell=(11, 2) | filled=26 best_pop=1860 best_fit=1876
it   73 [cross] + fit=  2044.5 pop= 2028 m=(0.38,0.24) cell=(7, 4) | filled=26 best_pop=2028 best_fit=2044
it   74 [mutat] + fit=     6.2 pop=    0 m=(0.34,0.19) cell=(6, 3) | filled=27 best_pop=2028 best_fit=2044
it   75 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=27 best_pop=2028 best_fit=2044
it   76 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=27 best_pop=2028 best_fit=2044
it   77 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=27 best_pop=2028 best_fit=2044
it   78 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=27 best_pop=2028 best_fit=2044
it   79 [mutat]   fit=   496.9 pop=  472 m=(0.50,0.20) cell=(10, 4) | filled=27 best_pop=2028 best_fit=2044
it   80 [mutat]   fit=     3.8 pop=    0 m=(0.50,0.17) cell=(10, 3) | filled=27 best_pop=2028 best_fit=2044
it   81 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=27 best_pop=2028 best_fit=2044
it   82 [mutat]   fit=     3.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=27 best_pop=2028 best_fit=2044
it   83 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=27 best_pop=2028 best_fit=2044
it   84 [mutat] + fit=    93.9 pop=   84 m=(0.26,0.31) cell=(5, 6) | filled=28 best_pop=2028 best_fit=2044
it   85 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=28 best_pop=2028 best_fit=2044
it   86 [cross] + fit=   168.8 pop=  160 m=(0.47,0.16) cell=(9, 3) | filled=29 best_pop=2028 best_fit=2044
it   87 [cross]   fit=   280.6 pop=  268 m=(0.50,0.17) cell=(10, 3) | filled=29 best_pop=2028 best_fit=2044
it   88 [mutat]   fit=     3.4 pop=    0 m=(0.50,0.21) cell=(10, 4) | filled=29 best_pop=2028 best_fit=2044
it   89 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=2028 best_fit=2044
it   90 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=2028 best_fit=2044
