ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=res_ind archive=20x20 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_resind_sonnet_v2_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(19, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
it  110 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1792 best_fit=1823
it  111 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1792 best_fit=1823
it  112 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1792 best_fit=1823
it  113 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1792 best_fit=1823
it  114 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1792 best_fit=1823
it  115 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1792 best_fit=1823
it  116 [mutat] + fit=     7.1 pop=    0 m=(0.67,0.10) cell=(13, 1) | filled=23 best_pop=1792 best_fit=1823
it  117 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  118 [mutat]   fit=    97.1 pop=   88 m=(0.27,0.45) cell=(5, 9) | filled=23 best_pop=1792 best_fit=1823
it  119 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  120 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  121 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  122 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  123 [cross]   fit=     6.2 pop=    0 m=(0.38,0.25) cell=(7, 5) | filled=23 best_pop=1792 best_fit=1823
it  124 [mutat]   fit=   127.8 pop=  120 m=(0.33,0.33) cell=(6, 6) | filled=23 best_pop=1792 best_fit=1823
it  125 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  126 [cross]   fit=     3.2 pop=    0 m=(0.55,0.18) cell=(10, 3) | filled=23 best_pop=1792 best_fit=1823
it  127 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  128 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  129 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1792 best_fit=1823
it  130 [mutat] + fit=     6.3 pop=    0 m=(0.50,0.00) cell=(10, 0) | filled=24 best_pop=1792 best_fit=1823
it  131 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=24 best_pop=1792 best_fit=1823
it  132 [cross] + fit=  1079.0 pop= 1056 m=(0.67,0.17) cell=(13, 3) | filled=25 best_pop=1792 best_fit=1823
it  133 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=25 best_pop=1792 best_fit=1823
it  134 [cross] + fit=    93.2 pop=   84 m=(0.40,0.30) cell=(8, 6) | filled=25 best_pop=1792 best_fit=1823
it  135 [mutat] + fit=  1147.1 pop= 1136 m=(0.38,0.24) cell=(7, 4) | filled=26 best_pop=1792 best_fit=1823
